,time,expiry,strike,call_oi,call_oi_change,call_ltp,spot_price,put_oi,put_oi_change,put_ltp
0,03-May-2021 09:54:20,06-May-2021,31300,42,25,1270.0,32339.45,4291,3278,210.0
1,03-May-2021 09:54:20,06-May-2021,31400,40,1,1180.25,32339.45,3026,2402,230.7
2,03-May-2021 09:54:20,06-May-2021,31500,882,145,1091.6,32339.45,21812,9236,255.5
3,03-May-2021 09:54:20,06-May-2021,31600,167,30,1035.25,32339.45,3658,2260,281.05
4,03-May-2021 09:54:20,06-May-2021,31700,259,109,953.15,32339.45,5470,3405,307.9
5,03-May-2021 09:54:20,06-May-2021,31800,257,135,883.0,32339.45,9746,7589,341.15
6,03-May-2021 09:54:20,06-May-2021,31900,341,189,818.0,32339.45,6880,5666,371.2
7,03-May-2021 09:54:20,06-May-2021,32000,9642,7117,748.85,32339.45,39421,20162,407.15
8,03-May-2021 09:54:20,06-May-2021,32100,3292,3056,687.5,32339.45,7252,5828,441.45
9,03-May-2021 09:54:20,06-May-2021,32200,5622,5333,628.05,32339.45,8728,6436,482.2
10,03-May-2021 09:54:20,06-May-2021,32300,6200,5626,566.8,32339.45,9015,6380,525.85
11,03-May-2021 09:54:20,06-May-2021,32400,5828,5515,514.5,32339.45,5358,3000,570.0
12,03-May-2021 09:54:20,06-May-2021,32500,22821,15493,465.35,32339.45,17034,5465,621.4
13,03-May-2021 09:54:20,06-May-2021,32600,5834,5513,416.95,32339.45,2646,20,670.5
14,03-May-2021 09:54:20,06-May-2021,32700,7535,6115,371.25,32339.45,2623,-386,730.0
15,03-May-2021 09:54:20,06-May-2021,32800,10197,6846,330.85,32339.45,3908,-807,787.05
16,03-May-2021 09:54:20,06-May-2021,32900,5239,2082,291.95,32339.45,1962,-347,850.5
17,03-May-2021 09:54:20,06-May-2021,33000,38139,18430,256.65,32339.45,11522,-2810,914.95
18,03-May-2021 09:54:20,06-May-2021,33100,5717,1697,225.65,32339.45,2016,-274,983.6
19,03-May-2021 09:54:20,06-May-2021,33200,7707,2398,196.9,32339.45,2580,-125,1051.15
20,03-May-2021 09:54:20,06-May-2021,33300,8168,2317,171.85,32339.45,1585,-250,1133.2
21,03-May-2021 09:57:50,06-May-2021,31300,42,25,1246.95,32306.1,4553,3540,209.85
22,03-May-2021 09:57:50,06-May-2021,31400,63,24,1164.4,32306.1,3258,2634,232.7
23,03-May-2021 09:57:50,06-May-2021,31500,903,166,1094.7,32306.1,22270,9694,254.9
24,03-May-2021 09:57:50,06-May-2021,31600,167,30,978.85,32306.1,3714,2316,279.5
25,03-May-2021 09:57:50,06-May-2021,31700,259,109,951.0,32306.1,5592,3527,307.4
26,03-May-2021 09:57:50,06-May-2021,31800,253,131,881.45,32306.1,9980,7823,336.8
27,03-May-2021 09:57:50,06-May-2021,31900,341,189,811.55,32306.1,6994,5780,368.55
28,03-May-2021 09:57:50,06-May-2021,32000,9419,6894,750.9,32306.1,42204,22945,404.75
29,03-May-2021 09:57:50,06-May-2021,32100,3301,3065,684.3,32306.1,7449,6025,438.0
30,03-May-2021 09:57:50,06-May-2021,32200,5631,5342,621.95,32306.1,9073,6781,477.7
31,03-May-2021 09:57:50,06-May-2021,32300,6300,5726,566.05,32306.1,9525,6890,520.2
32,03-May-2021 09:57:50,06-May-2021,32400,6223,5910,510.95,32306.1,5213,2855,569.3
33,03-May-2021 09:57:50,06-May-2021,32500,22849,15521,462.35,32306.1,17712,6143,617.55
34,03-May-2021 09:57:50,06-May-2021,32600,5786,5465,414.9,32306.1,2679,53,670.0
35,03-May-2021 09:57:50,06-May-2021,32700,7762,6342,367.4,32306.1,2646,-363,728.25
36,03-May-2021 09:57:50,06-May-2021,32800,10169,6818,325.85,32306.1,3884,-831,784.45
37,03-May-2021 09:57:50,06-May-2021,32900,5390,2233,287.95,32306.1,1914,-395,847.0
38,03-May-2021 09:57:50,06-May-2021,33000,39314,19605,254.2,32306.1,11584,-2748,910.0
39,03-May-2021 09:57:50,06-May-2021,33100,5728,1708,221.45,32306.1,1990,-300,979.45
40,03-May-2021 09:57:50,06-May-2021,33200,7835,2526,194.15,32306.1,2544,-161,1055.0
41,03-May-2021 09:57:50,06-May-2021,33300,8308,2457,168.4,32306.1,1577,-258,1144.35
42,03-May-2021 10:01:06,06-May-2021,31300,42,25,1246.95,32334.7,5097,4084,209.35
43,03-May-2021 10:01:06,06-May-2021,31400,65,26,1165.0,32334.7,5133,4509,231.3
44,03-May-2021 10:01:06,06-May-2021,31500,978,241,1090.5,32334.7,23166,10590,250.8
45,03-May-2021 10:01:06,06-May-2021,31600,168,31,1005.65,32334.7,3911,2513,277.6
46,03-May-2021 10:01:06,06-May-2021,31700,268,118,946.45,32334.7,5721,3656,305.05
47,03-May-2021 10:01:06,06-May-2021,31800,269,147,872.0,32334.7,10719,8562,335.4
48,03-May-2021 10:01:06,06-May-2021,31900,342,190,801.05,32334.7,7091,5877,365.95
49,03-May-2021 10:01:06,06-May-2021,32000,9559,7034,732.6,32334.7,44626,25367,400.55
50,03-May-2021 10:01:06,06-May-2021,32100,3407,3171,670.8,32334.7,7778,6354,437.35
51,03-May-2021 10:01:06,06-May-2021,32200,5643,5354,614.6,32334.7,9490,7198,479.5
52,03-May-2021 10:01:06,06-May-2021,32300,6494,5920,554.75,32334.7,10442,7807,517.3
53,03-May-2021 10:01:06,06-May-2021,32400,6350,6037,503.15,32334.7,5509,3151,568.1
54,03-May-2021 10:01:06,06-May-2021,32500,23131,15803,449.35,32334.7,18231,6662,615.2
55,03-May-2021 10:01:06,06-May-2021,32600,5837,5516,405.8,32334.7,2719,93,670.3
56,03-May-2021 10:01:06,06-May-2021,32700,7530,6110,362.95,32334.7,2646,-363,723.8
57,03-May-2021 10:01:06,06-May-2021,32800,10237,6886,320.4,32334.7,3953,-762,782.1
